,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
418,419,稀缺资源,BK0519,22791.96,-131.51,-0.57,3191217440000,0.61,25,51,云南锗业,10.0
419,420,SPD概念,BK1147,887.6,-5.13,-0.57,71571492000,0.64,5,6,红日药业,2.01
420,421,AB股,BK0498,10696.14,-67.28,-0.63,1396142096000,0.89,29,43,海立股份,10.03
421,422,数据安全,BK1047,830.28,-5.33,-0.64,792724624000,0.89,39,36,旗天科技,5.55
422,423,IPv6,BK0897,1243.32,-8.03,-0.64,525862992000,0.41,9,3,数码视讯,2.37
423,424,职业教育,BK1022,1090.44,-7.14,-0.65,597366784000,1.08,29,36,同辉信息,4.45
424,425,跨境支付,BK1071,1487.86,-9.94,-0.66,10544563456000,0.11,24,26,华峰超纤,2.53
425,426,并购重组概念,BK1181,1037.58,-6.98,-0.67,1197817680000,1.43,29,33,阳谷华泰,20.03
426,427,小金属概念,BK0695,2282.4,-15.44,-0.67,2796960512000,1.11,43,66,英洛华,9.96
427,428,啤酒概念,BK1073,968.21,-6.81,-0.7,228933638000,0.36,8,6,乐惠国际,2.16
428,429,化债(AMC)概念,BK0980,1025.34,-7.28,-0.71,1170132080000,1.35,22,29,新力金融,10.01
429,430,万达概念,BK0831,968.96,-6.89,-0.71,526568256000,0.64,5,10,万向钱潮,7.14
430,431,新型城镇化,BK1080,808.79,-5.84,-0.72,403382480000,0.94,30,61,绿茵生态,10.07
431,432,社区团购,BK0965,754.11,-5.72,-0.75,537460768000,1.24,15,22,若羽臣,10.03
432,433,钛白粉,BK0805,1011.95,-7.94,-0.78,144223298000,1.1,3,8,金浦钛业,1.44
433,434,低价股,BK1053,861.85,-6.79,-0.78,2001697840000,0.91,82,149,华夏幸福,9.96
434,435,华为欧拉,BK1013,1570.03,-13.88,-0.88,303735744000,2.35,6,9,艾融软件,2.28
435,436,昨日触板,BK0817,472.82,-4.2,-0.88,982952624000,2.61,36,46,海立股份,10.03
436,437,中字头,BK0505,8260.07,-74.4,-0.89,16080795136000,0.18,29,69,中国稀土,2.22
437,438,粤港自贸,BK0677,2802.55,-25.47,-0.9,1049919088000,0.63,22,45,维业股份,2.75
438,439,华为昇腾,BK0995,1271.44,-11.65,-0.91,329524080000,2.05,14,10,利和兴,2.34
439,440,水产养殖,BK0967,791.75,-7.83,-0.98,280069376000,1.03,4,13,海大集团,1.92
440,441,托育服务,BK1074,607.02,-6.07,-0.99,74082932000,0.57,5,8,ST易联众,2.17
441,442,京津冀,BK0684,1561.2,-16.51,-1.05,626119328000,0.9,21,30,华夏幸福,9.96
442,443,沪企改革,BK0672,2476.7,-28.39,-1.13,905272816000,0.91,14,25,华建集团,9.94
443,444,粮食概念,BK1086,723.03,-8.77,-1.2,177047147000,1.54,8,18,黑芝麻,6.97
444,445,乳业,BK0892,918.47,-11.58,-1.25,454209904000,0.47,11,17,麦趣尔,1.71
445,446,土地流转,BK0632,1502.89,-20.39,-1.34,428521904000,0.72,13,34,爱仕达,10.03
446,447,转基因,BK0907,1288.43,-19.21,-1.47,113834861000,0.8,4,11,颖泰生物,3.35
447,448,钒电池,BK1095,1128.49,-17.93,-1.56,527245408000,1.55,7,14,协鑫集成,5.72
448,449,REITs概念,BK0992,807.98,-13.29,-1.62,924516944000,0.68,5,20,东湖高新,2.35
449,450,稀土永磁,BK0578,2138.31,-35.61,-1.64,910167792000,2.32,21,36,英洛华,9.96
450,451,智谱AI,BK1182,973.04,-22.6,-2.27,369451312000,2.85,15,18,并行科技,3.97
451,452,租售同权,BK0822,794.07,-21.12,-2.59,493821072000,0.89,1,17,维业股份,2.75
452,453,低碳冶金,BK0979,943.05,-28.15,-2.9,302615888000,0.37,1,7,中钢国际,0.61
