,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,电机,BK1030,1639.43,77.63,4.97,178049701000,1.54,25,1,科力尔,9.98
1,2,汽车整车,BK1029,1572.75,49.86,3.27,2116685776000,0.8,25,0,众泰汽车,10.22
2,3,汽车零部件,BK0481,31549.4,878.01,2.86,1603532400000,1.03,205,13,豪能股份,9.98
3,4,通用设备,BK0545,28304.52,665.09,2.41,1068904416000,0.91,183,29,旺成科技,29.93
4,5,风电设备,BK1032,1052.61,24.58,2.39,309489952000,0.95,27,1,电气风电,20.04
5,6,专用设备,BK0910,2187.65,36.78,1.71,1408663024000,0.72,224,31,新时达,9.97
6,7,橡胶制品,BK1018,1304.65,21.17,1.65,276636192000,0.35,25,6,阳谷华泰,20.03
7,8,仪器仪表,BK0458,12853.17,207.2,1.64,271421600000,1.23,59,11,柯力传感,10.01
8,9,电池,BK1033,876.56,12.97,1.5,1989087040000,0.45,64,11,国轩高科,6.17
9,10,光学光电子,BK1038,1379.74,20.16,1.48,1084399424000,1.24,85,17,蓝黛科技,10.01
10,11,医疗服务,BK0727,979.44,14.29,1.48,683611456000,0.51,35,8,昭衍新药,10.02
11,12,消费电子,BK1037,1343.13,19.44,1.47,1972190048000,0.92,87,14,波导股份,9.93
12,13,通信设备,BK0448,12122.08,160.33,1.34,1483672704000,0.79,91,16,剑桥科技,10.0
13,14,塑料制品,BK0454,11470.13,151.53,1.34,348829312000,0.68,67,13,横河精密,20.02
14,15,化学制药,BK0465,28576.9,366.91,1.3,1699611520000,0.45,120,19,莎普爱思,10.0
15,16,证券,BK0473,147006.72,1867.47,1.29,3426462048000,0.58,46,3,东兴证券,8.8
16,17,电子元件,BK0459,21666.85,262.79,1.23,1816813184000,0.62,118,21,安培龙,5.36
17,18,电网设备,BK0457,23678.09,282.49,1.21,1253919024000,0.53,113,18,长城电工,10.01
18,19,电子化学品,BK1039,1503.69,17.1,1.15,266276035000,0.81,22,3,强力新材,3.46
19,20,生物制品,BK1044,841.77,9.19,1.1,1267600464000,0.28,67,8,宣泰医药,5.13
20,21,工程机械,BK0739,1468.37,15.52,1.07,624139392000,0.34,23,7,荣亿精密,4.41
21,22,电源设备,BK1034,1568.04,16.47,1.06,337327120000,1.51,24,5,麦格米特,5.78
22,23,游戏,BK1046,1010.83,9.26,0.92,311909840000,0.7,24,2,恺英网络,3.24
23,24,交运设备,BK0429,8638.36,77.59,0.91,675411440000,0.17,34,12,雷尔伟,15.45
24,25,医疗器械,BK1041,777.57,6.84,0.89,1319222896000,0.29,96,19,浩欧博,20.0
25,26,半导体,BK1036,1270.34,10.74,0.85,4056131264000,0.86,133,23,有研硅,8.32
26,27,家电行业,BK0456,18260.19,143.71,0.79,1873959248000,0.87,66,21,海立股份,10.03
27,28,非金属材料,BK1020,1143.49,8.8,0.78,358769232000,1.06,24,8,中科电气,8.23
28,29,物流行业,BK0422,6106.28,41.49,0.68,845740768000,0.15,39,12,万林物流,5.67
29,30,航天航空,BK0480,43673.33,235.31,0.54,975258432000,0.57,37,8,航宇科技,5.29
30,31,化学制品,BK0538,21800.54,112.71,0.52,1267012976000,0.48,111,48,凯大催化,6.36
31,32,计算机设备,BK0735,1143.06,5.82,0.51,896712736000,1.21,39,10,视声智能,5.6
32,33,中药,BK1040,1406.78,6.8,0.49,937006384000,0.56,59,12,陇神戎发,3.11
33,34,装修装饰,BK0725,472.91,2.24,0.48,119087392000,1.17,18,20,全筑股份,9.79
34,35,互联网服务,BK0447,20279.3,85.6,0.42,1548827424000,0.95,95,47,若羽臣,10.03
35,36,贸易行业,BK0484,9046.55,37.84,0.42,310622176000,0.87,22,12,天音控股,6.86
36,37,玻璃玻纤,BK0546,33387.92,133.04,0.4,336586352000,0.22,14,8,戈碧迦,8.69
37,38,采掘行业,BK1017,1085.62,4.24,0.39,309263968000,0.24,14,6,科力股份,3.23
38,39,软件开发,BK0737,947.27,3.68,0.39,2055934528000,1.0,117,73,能科科技,9.98
39,40,多元金融,BK0738,622.25,2.16,0.35,513582432000,1.18,14,7,渤海租赁,10.11
40,41,化学原料,BK1019,723.84,2.26,0.31,827044352000,0.34,42,36,英 力 特,5.42
41,42,医药商业,BK1042,994.67,2.95,0.3,332434688000,0.7,13,15,健之佳,8.97
42,43,农药兽药,BK0730,912.58,2.36,0.26,255805099000,0.31,24,21,蓝丰生化,7.21
43,44,船舶制造,BK0729,822.7,2.11,0.26,402949008000,0.23,6,3,ST瑞科,2.96
44,45,燃气,BK1028,1423.77,3.62,0.25,276118736000,0.33,20,10,ST浩源,4.88
45,46,光伏设备,BK1031,1253.23,3.14,0.25,1646374608000,1.09,50,25,意华股份,10.01
46,47,纺织服装,BK0436,9380.94,23.15,0.25,477833024000,0.42,56,34,日播时尚,9.97
47,48,航运港口,BK0450,9871.92,23.64,0.24,1051209392000,0.21,11,26,凤凰航运,10.05
48,49,工程咨询服务,BK0726,673.42,1.52,0.23,185850221000,0.94,17,23,华建集团,9.94
49,50,家用轻工,BK0440,33604.51,61.31,0.18,258841521000,0.51,24,12,好太太,4.01
50,51,通信服务,BK0736,960.93,0.87,0.09,3179311600000,0.3,27,12,东软载波,2.04
51,52,石油行业,BK0464,5118.57,4.39,0.09,3682895184000,0.07,10,10,ST新潮,4.9
52,53,电力行业,BK0428,16159.83,13.83,0.09,3070860640000,0.22,33,42,绿能慧充,6.93
53,54,食品饮料,BK0438,23063.75,17.64,0.08,1558741248000,0.54,67,47,华康股份,9.97
54,55,公用事业,BK0427,7883.05,1.36,0.02,190529202000,0.4,11,12,惠天热电,9.88
55,56,美容护理,BK1035,780.46,0.0,0.0,299641056000,0.64,20,8,稳健医疗,3.11
56,57,汽车服务,BK1016,853.42,-0.08,-0.01,64190007000,0.75,8,5,德众汽车,6.68
57,58,酿酒行业,BK0477,51088.59,-37.16,-0.07,3759973184000,0.31,19,16,百润股份,5.39
58,59,化肥行业,BK0731,1289.75,-1.26,-0.1,376025200000,0.83,10,11,川发龙蟒,2.01
59,60,专业服务,BK1043,1102.82,-1.54,-0.14,198604676000,0.45,22,13,泰坦科技,4.24
60,61,珠宝首饰,BK0734,347.2,-0.54,-0.16,135568934000,0.19,6,7,特  力Ａ,0.28
61,62,贵金属,BK0732,1112.98,-2.45,-0.22,803649472000,0.28,3,10,西部黄金,0.15
62,63,航空机场,BK0420,4731.87,-11.31,-0.24,675443568000,0.94,8,6,华夏航空,4.45
63,64,铁路公路,BK0421,8159.71,-21.47,-0.26,686383392000,0.29,10,16,江西长运,2.23
64,65,化纤行业,BK0471,12339.06,-34.63,-0.28,429179552000,0.52,15,10,蒙泰高新,4.32
65,66,文化传媒,BK0486,8854.01,-28.32,-0.32,1005582400000,0.67,42,50,三人行,7.59
66,67,有色金属,BK0478,15665.88,-53.14,-0.34,1092076816000,0.76,34,38,和胜股份,10.03
67,68,包装材料,BK0733,903.22,-3.07,-0.34,121567253000,0.52,11,16,王子新材,4.41
68,69,旅游酒店,BK0485,14038.83,-58.34,-0.41,350884272000,0.58,15,21,长白山,3.4
69,70,装修建材,BK0476,11721.7,-51.44,-0.44,447432176000,0.9,21,41,美克家居,6.15
70,71,农牧饲渔,BK0433,12516.84,-64.36,-0.51,961065712000,0.92,42,47,欧福蛋业,8.74
71,72,工程建设,BK0425,21215.5,-123.64,-0.58,1514493760000,0.33,24,38,森特股份,6.01
72,73,造纸印刷,BK0470,8234.19,-52.19,-0.63,239375979000,0.46,17,21,柏星龙,3.93
73,74,环保行业,BK0728,390.0,-2.89,-0.74,599819792000,0.86,50,65,绿茵生态,10.07
74,75,综合行业,BK0539,9404.55,-72.23,-0.76,184179588000,1.31,7,11,山高环能,6.37
75,76,煤炭行业,BK0437,10859.31,-94.95,-0.87,1902537184000,0.19,3,30,山煤国际,0.37
76,77,保险,BK0474,1383.6,-13.34,-0.95,3041822528000,0.06,0,6,中国平安,-0.09
