,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日连板,BK0816,58534.54,4226.31,7.78,21194292000,0.0,6,0,宏达新材,10.09
1,2,昨日连板_含一字,BK1051,235.6,16.77,7.66,356532336000,0.0,12,0,宏达新材,10.09
2,3,昨日涨停,BK0815,116.14,7.64,7.04,611584800000,0.0,40,1,四方精创,20.0
3,4,昨日涨停_含一字,BK1050,20813.14,1349.86,6.94,945239440000,0.0,45,1,四方精创,20.0
4,5,化债(AMC)概念,BK0980,911.28,45.11,5.21,1141528304000,0.0,45,2,宇信科技,20.01
5,6,赛马概念,BK0709,580.32,21.61,3.87,16395239000,0.0,4,0,海南瑞泽,10.18
6,7,租售同权,BK0822,732.84,24.41,3.45,482024608000,0.0,14,1,维业股份,15.08
7,8,跨境支付,BK1071,1392.46,43.02,3.19,10852140544000,0.0,42,1,宇信科技,20.01
8,9,MLOps概念,BK1132,900.8,25.54,2.92,188863165000,0.0,6,3,宇信科技,20.01
9,10,海绵城市,BK0724,779.57,19.53,2.57,246777645000,0.0,26,1,蒙草生态,20.0
10,11,华为欧拉,BK1013,1341.07,33.02,2.52,260126046000,0.0,9,4,宇信科技,20.01
11,12,REITs概念,BK0992,725.15,14.51,2.04,884121264000,0.0,18,4,光大嘉宝,10.15
12,13,数字水印,BK1129,804.63,15.94,2.02,89845349000,0.0,9,4,科蓝软件,15.32
13,14,湖北自贸,BK0926,1219.93,22.93,1.92,299100576000,0.0,20,2,回天新材,20.05
14,15,数字货币,BK0883,1470.9,27.24,1.89,778805744000,0.0,49,13,宇信科技,20.01
15,16,气溶胶检测,BK1065,1065.86,19.49,1.86,203483212000,0.0,7,1,蓝盾光电,5.22
16,17,Web3.0,BK1110,1274.32,21.86,1.75,379190640000,0.0,24,7,四方精创,20.0
17,18,滨海新区,BK0566,8689.46,148.6,1.74,205966767000,0.0,12,7,津投城开,10.1
18,19,PVDF概念,BK1012,705.55,11.16,1.61,222434317000,0.0,8,4,回天新材,20.05
19,20,PPP模式,BK0721,573.18,9.03,1.6,2278817344000,0.0,97,26,蒙草生态,20.0
20,21,医废处理,BK0914,924.35,14.19,1.56,185644646000,0.0,20,7,启迪环境,8.7
21,22,参股期货,BK0524,26633.95,393.73,1.5,3114828032000,0.0,25,10,浙江东方,10.12
22,23,华为昇腾,BK0995,1156.5,16.84,1.48,290709056000,0.0,14,4,科蓝软件,15.32
23,24,有机硅,BK0961,1070.25,15.55,1.47,279018656000,0.0,17,8,回天新材,20.05
24,25,粤港自贸,BK0677,2522.91,35.82,1.44,1007552288000,0.0,36,17,维业股份,15.08
25,26,碳交易,BK0966,1285.89,17.77,1.4,2563995376000,0.0,72,25,蒙草生态,20.0
26,27,装配建筑,BK0945,798.69,11.03,1.4,1429236480000,0.0,53,15,回天新材,20.05
27,28,新型城镇化,BK1080,733.35,10.1,1.4,362193552000,0.0,58,15,杭州园林,19.16
28,29,高带宽内存,BK1152,747.43,10.15,1.38,114039539000,0.0,5,4,天马新材,15.41
29,30,发电机概念,BK1014,902.02,12.06,1.36,86777471000,0.0,11,6,新柴股份,19.96
30,31,注射器概念,BK0973,807.2,10.7,1.34,70988048000,0.0,6,5,迈得医疗,20.03
31,32,垃圾分类,BK0873,1154.97,14.51,1.27,726200064000,0.0,66,21,海南瑞泽,10.18
32,33,鸿蒙概念,BK0953,1213.13,15.24,1.27,1760606576000,0.0,43,14,宇信科技,20.01
33,34,房屋检测,BK1179,1082.79,13.45,1.26,193288650000,0.0,22,6,中设咨询,11.66
34,35,生物质能发电,BK1098,838.08,10.14,1.22,192833220000,0.0,17,6,泰达股份,9.95
35,36,PEEK材料概念,BK1156,890.89,10.72,1.22,176983647000,0.0,14,5,华密新材,7.89
36,37,雄安新区,BK0813,755.72,9.0,1.21,2525560144000,0.0,96,30,回天新材,20.05
37,38,星闪概念,BK1149,1058.32,12.19,1.17,423245072000,0.0,19,8,惠威科技,9.98
38,39,娃哈哈概念,BK1165,936.01,10.72,1.16,86597861000,0.0,12,3,中亚股份,9.3
39,40,电子身份证,BK1075,1010.62,11.46,1.15,287396864000,0.0,19,8,科蓝软件,15.32
40,41,电子车牌,BK0982,1097.29,12.26,1.13,145500772000,0.0,8,4,经纬辉开,19.97
41,42,数据确权,BK1118,1245.75,13.79,1.12,253761516000,0.0,18,8,四方精创,20.0
42,43,京津冀,BK0684,1398.59,14.87,1.07,537171568000,0.0,29,11,碧水源,11.9
43,44,BC电池,BK1148,728.16,7.69,1.07,369886704000,0.0,15,3,永和智控,4.71
44,45,土壤修复,BK1070,664.98,7.01,1.07,172137093000,0.0,12,10,蒙草生态,20.0
45,46,ChatGPT概念,BK1126,1414.62,14.9,1.06,1785795808000,0.0,41,16,宇信科技,20.01
46,47,股权转让,BK0803,522.74,5.47,1.06,146873903000,0.0,18,9,大富科技,7.59
47,48,第四代半导体,BK1121,1357.62,14.13,1.05,110715587000,0.0,3,0,衢州发展,3.08
48,49,中超概念,BK0635,1873.55,19.03,1.03,215905884000,0.0,5,2,华夏幸福,7.14
49,50,Kimi概念,BK1169,805.44,7.95,1.0,367095680000,0.0,15,3,凡拓数创,19.89
50,51,互联金融,BK0637,4115.25,40.54,0.99,18448997632000,0.0,116,37,宇信科技,20.01
51,52,氦气概念,BK0949,1293.58,12.65,0.99,90997438000,0.0,8,1,华特气体,3.5
52,53,汽车拆解,BK0943,874.84,8.47,0.98,230670253000,0.0,9,5,启迪环境,8.7
53,54,转基因,BK0907,1089.69,10.37,0.96,99624335000,0.0,7,2,节能铁汉,6.15
54,55,券商概念,BK0711,1084.91,10.26,0.95,3979892576000,0.0,28,9,东兴证券,10.05
55,56,参股券商,BK0514,11753.89,109.93,0.94,4135535312000,0.0,70,26,浙江东方,10.12
56,57,钒电池,BK1095,940.37,8.78,0.94,414682624000,0.0,13,2,海德股份,9.96
57,58,海洋经济,BK0623,2131.48,19.39,0.92,714684544000,0.0,17,4,格力地产,8.52
58,59,举牌,BK0685,1753.15,15.52,0.89,48828938000,0.0,6,2,城发环境,2.97
59,60,大飞机,BK0814,1143.89,9.9,0.87,1575143504000,0.0,61,18,回天新材,20.05
60,61,低碳冶金,BK0979,886.91,7.67,0.87,301868608000,0.0,6,0,中钢国际,3.5
61,62,破净股,BK1112,1099.73,9.38,0.86,18817516800000,0.0,296,99,碧水源,11.9
62,63,科创板做市商,BK1107,1474.76,12.55,0.86,1860737056000,0.0,6,1,国泰君安,10.01
63,64,通用航空,BK0625,4489.77,38.2,0.86,968192224000,0.0,29,7,华夏幸福,7.14
64,65,土地流转,BK0632,1370.77,11.33,0.83,395147824000,0.0,25,9,空港股份,8.08
65,66,虚拟数字人,BK1055,909.78,7.38,0.82,3106944592000,0.0,29,21,宇信科技,20.01
66,67,航母概念,BK0715,773.52,6.13,0.8,1179256368000,0.0,25,8,宝塔实业,10.05
67,68,特高压,BK0918,1506.16,11.88,0.8,1104574512000,0.0,43,22,经纬辉开,19.97
68,69,天基互联,BK0921,1153.88,8.94,0.78,438998128000,0.0,22,10,海能达,9.95
69,70,建筑节能,BK1076,766.29,5.9,0.78,174326741000,0.0,28,8,维业股份,15.08
70,71,鸡肉概念,BK0887,698.38,5.3,0.76,372560960000,0.0,13,2,立华股份,8.01
71,72,海工装备,BK0601,1382.64,10.49,0.76,1203419440000,0.0,24,7,银邦股份,4.77
72,73,供销社概念,BK1109,844.68,6.38,0.76,104062113000,0.0,6,4,新力金融,10.0
73,74,低价股,BK1053,727.79,5.45,0.75,2254255936000,0.0,161,67,海南瑞泽,10.18
74,75,毛发医疗,BK0996,758.82,5.67,0.75,88882112000,0.0,6,4,ST美谷,5.0
75,76,麒麟电池,BK1092,944.03,7.02,0.75,1164195712000,0.0,6,2,银邦股份,4.77
76,77,重组蛋白,BK1063,714.95,5.29,0.75,152893318000,0.0,11,1,成都先导,2.01
77,78,东盟自贸区概念,BK1154,950.82,7.03,0.74,167133090000,0.0,7,1,嘉诚国际,10.05
78,79,裸眼3D,BK1142,847.76,6.26,0.74,267108135000,0.0,6,7,凡拓数创,19.89
79,80,工程机械概念,BK0991,1042.98,7.62,0.74,886602656000,0.0,17,10,新柴股份,19.96
80,81,创投,BK0506,12167.57,88.8,0.74,4139919312000,0.0,138,71,宇信科技,20.01
81,82,IPO受益,BK0697,2774.87,20.12,0.73,2292441840000,0.0,27,13,浙江东方,10.12
82,83,NFT概念,BK0997,1186.77,8.6,0.73,421714336000,0.0,29,12,四方精创,20.0
83,84,区块链,BK0830,823.92,5.95,0.73,7554145536000,0.0,118,55,宇信科技,20.01
84,85,养老金,BK0823,1192.12,8.5,0.72,2681641920000,0.0,102,39,新柴股份,19.96
85,86,工业气体,BK0981,1326.19,9.38,0.71,357708752000,0.0,14,6,陕鼓动力,10.0
86,87,AIGC概念,BK1111,1357.64,9.53,0.71,1420346704000,0.0,41,20,凡拓数创,19.89
87,88,节能环保,BK0494,9104.23,63.78,0.71,3447446288000,0.0,211,100,蒙草生态,20.0
88,89,玻璃基板,BK1175,1050.42,7.2,0.69,437773520000,0.0,12,7,天马新材,15.41
89,90,参股保险,BK0604,1996.21,13.34,0.67,5662348032000,0.0,44,19,浙江东方,10.12
90,91,数字阅读,BK0959,1342.72,8.94,0.67,181347202000,0.0,10,4,南方传媒,2.57
91,92,RCS概念,BK0919,1083.71,7.21,0.67,165321960000,0.0,9,8,国华网安,10.0
92,93,军民融合,BK0808,1269.18,8.34,0.66,2599969888000,0.0,107,38,中航电测,11.95
93,94,成渝特区,BK0534,15384.04,99.51,0.65,2206027856000,0.0,44,23,渝 开 发,10.05
94,95,证金持股,BK0718,1238.67,7.96,0.65,37171964672000,0.0,128,35,信达地产,10.12
95,96,DRG/DIP,BK1054,829.65,5.32,0.65,118416810000,0.0,10,4,荣科科技,5.0
96,97,万达概念,BK0831,866.64,5.51,0.64,525389168000,0.0,9,2,津滨发展,2.99
97,98,RCEP概念,BK0962,852.22,5.34,0.63,172180062000,0.0,8,6,中创物流,4.54
98,99,智慧灯杆,BK1069,1119.24,6.96,0.63,106530254000,0.0,10,6,格利尔,22.45
99,100,养老概念,BK0653,2118.7,12.98,0.62,2964630352000,0.0,58,27,云南城投,10.07
100,101,军工,BK0490,48765.12,296.62,0.61,5166627328000,0.0,263,111,晟楠科技,29.45
101,102,网络安全,BK0655,3431.0,20.78,0.61,4412678400000,0.0,66,34,科蓝软件,15.32
102,103,猪肉概念,BK0882,1118.62,6.77,0.61,889820992000,0.0,20,4,立华股份,8.01
103,104,AI语料,BK1172,726.08,4.37,0.61,264698542000,0.0,12,5,昆仑万维,3.23
104,105,数据安全,BK1047,747.23,4.49,0.6,718635104000,0.0,40,18,科蓝软件,15.32
105,106,ST股,BK0511,4311.07,25.85,0.6,297879792000,0.0,50,32,*ST东园,5.19
106,107,免税概念,BK0927,1035.46,6.19,0.6,925387920000,0.0,10,10,海南高速,10.04
107,108,参股新三板,BK0600,2025.42,11.87,0.59,1258669648000,0.0,52,22,蒙草生态,20.0
108,109,核能核电,BK0577,1611.67,9.33,0.58,2671751424000,0.0,68,28,光智科技,20.02
109,110,AI芯片,BK1127,923.71,5.31,0.58,930717616000,0.0,10,9,优博讯,4.23
110,111,国企改革,BK0683,3651.8,20.7,0.57,36388592640000,0.0,673,325,GQY视讯,20.0
111,112,代糖概念,BK0938,808.25,4.56,0.57,124298232000,0.0,6,3,鲁信创投,6.78
112,113,维生素,BK0895,1534.01,8.58,0.56,423070288000,0.0,17,7,仙乐健康,8.3
113,114,统一大市场,BK1077,928.16,5.13,0.56,320621360000,0.0,17,13,嘉诚国际,10.05
114,115,参股银行,BK0525,8923.24,49.29,0.56,11122933248000,0.0,110,53,蒙草生态,20.0
115,116,数字经济,BK1061,927.83,5.12,0.55,1334066384000,0.0,76,46,凡拓数创,19.89
116,117,水利建设,BK0597,1341.5,7.33,0.55,2088242160000,0.0,55,24,蒙草生态,20.0
117,118,6G概念,BK0964,1067.64,5.8,0.55,413119856000,0.0,9,8,海能达,9.95
118,119,纾困概念,BK0851,1355.65,7.36,0.55,375225424000,0.0,23,12,宝塔实业,10.05
119,120,核污染防治,BK0983,1041.39,5.63,0.54,378227088000,0.0,17,9,*ST东园,5.19
120,121,西部大开发,BK0590,2253.97,12.1,0.54,10568314368000,0.0,275,152,蒙草生态,20.0
121,122,锂矿概念,BK1173,1063.06,5.67,0.54,2324607008000,0.0,16,5,西藏城投,6.06
122,123,PCB,BK0877,1387.34,7.29,0.53,854586576000,0.0,35,28,回天新材,20.05
123,124,移动支付,BK0556,9368.56,49.17,0.53,3250200112000,0.0,29,19,科蓝软件,15.32
124,125,北斗导航,BK0629,4406.86,22.94,0.52,779681232000,0.0,33,18,海能达,9.95
125,126,乡村振兴,BK0834,1137.61,5.87,0.52,1224628784000,0.0,70,34,科蓝软件,15.32
126,127,人造肉,BK0866,848.35,4.35,0.52,164313729000,0.0,8,5,嘉华股份,2.99
127,128,抗菌面料,BK1116,963.1,4.93,0.51,65817804000,0.0,12,1,欣贺股份,1.64
