,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日连板_含一字,BK1051,308.56,19.91,6.9,484148832000,1.03,37,5,深康佳Ａ,10.05
1,2,昨日连板,BK0816,70505.76,2726.97,4.02,335855488000,0.93,26,11,深康佳Ａ,10.05
2,3,昨日涨停_含一字,BK1050,25435.68,953.12,3.89,1695799632000,0.48,117,26,深康佳Ａ,10.05
3,4,昨日涨停,BK0815,143.93,4.36,3.12,1512902464000,0.46,119,39,深康佳Ａ,10.05
4,5,CPO概念,BK1128,2283.79,60.63,2.73,1379896384000,0.1,31,10,铭普光磁,10.0
5,6,通用航空,BK0625,5243.96,125.18,2.45,1052806064000,0.09,27,10,宗申动力,10.0
6,7,光通信模块,BK1136,1196.91,26.42,2.26,881283280000,0.13,40,10,铭普光磁,10.0
7,8,F5G概念,BK1088,1885.47,35.22,1.9,585268880000,0.03,18,4,铭普光磁,10.0
8,9,高带宽内存,BK1152,930.15,17.35,1.9,130329730000,0.08,5,5,天马新材,25.6
9,10,PEEK材料概念,BK1156,1018.96,16.05,1.6,209376221000,0.09,12,8,富恒新材,16.15
10,11,智能电视,BK0656,1007.97,14.91,1.5,256824880000,0.05,7,5,四川长虹,9.98
11,12,蒙脱石散,BK1123,1014.72,14.22,1.42,65148077000,0.02,5,3,华纳药厂,14.75
12,13,6G概念,BK0964,1252.56,16.29,1.32,450453136000,0.12,13,9,创远信科,21.74
13,14,低空经济,BK1166,1250.47,16.17,1.31,2692810656000,0.1,135,59,宗申动力,10.0
14,15,碳化硅,BK0977,1215.67,15.56,1.3,547230064000,0.06,16,16,麦格米特,10.01
15,16,玻璃基板,BK1175,1232.06,15.09,1.24,481025520000,0.03,21,10,麦格米特,10.01
16,17,可控核聚变,BK1163,1052.62,12.5,1.2,287931456000,0.04,10,7,上海电气,10.06
17,18,MicroLED,BK0948,927.2,10.95,1.2,436954832000,0.03,11,6,深康佳Ａ,10.05
18,19,钒电池,BK1095,1000.37,11.33,1.15,449490768000,0.02,8,7,上海电气,10.06
19,20,EDA概念,BK0946,1123.51,12.36,1.11,238472166000,0.12,6,8,一博科技,8.46
20,21,3D摄像头,BK0901,1319.73,14.34,1.1,597499376000,0.2,6,3,欧菲光,7.98
21,22,飞行汽车(eVTOL),BK1157,1492.12,16.07,1.09,611100912000,0.13,41,13,威贸电子,11.28
22,23,中超概念,BK0635,1949.15,19.26,1.0,216403615000,0.02,5,3,华夏幸福,9.03
23,24,WiFi,BK0915,1065.04,10.5,1.0,512808816000,0.04,12,14,创远信科,21.74
24,25,激光雷达,BK1002,1320.8,12.06,0.92,341057792000,0.09,15,13,光库科技,19.97
25,26,发电机概念,BK1014,972.57,8.14,0.84,99530940000,0.03,11,5,宗申动力,10.0
26,27,纳米银,BK0855,1565.06,12.79,0.82,106461121000,0.45,5,4,欧菲光,7.98
27,28,量子通信,BK0710,2126.46,17.37,0.82,1221028160000,0.05,22,25,光库科技,19.97
28,29,磁悬浮概念,BK0975,1515.65,11.86,0.79,748136960000,0.02,10,18,四川长虹,9.98
29,30,同步磁阻电机,BK1131,1034.72,8.0,0.78,40319185000,0.06,5,1,卧龙电驱,3.05
30,31,Web3.0,BK1110,1438.6,10.46,0.73,430148512000,0.09,21,21,新晨科技,17.87
31,32,北斗导航,BK0629,5129.08,36.76,0.72,892400192000,0.1,44,25,创远信科,21.74
32,33,IPv6,BK0897,1175.26,7.97,0.68,525487856000,0.04,6,5,深康佳Ａ,10.05
33,34,商汤概念,BK0942,985.84,6.66,0.68,399635360000,0.05,6,6,上海电气,10.06
34,35,植物照明,BK1007,898.38,5.94,0.67,157809244000,0.06,6,7,聚飞光电,9.3
35,36,毫米波概念,BK1124,1312.37,8.52,0.65,410714720000,0.06,21,13,创远信科,21.74
36,37,抗菌面料,BK1116,1014.9,6.39,0.63,70267028000,0.07,10,4,汇鸿集团,6.61
37,38,第三代半导体,BK0952,1243.75,7.66,0.62,1626389776000,0.1,48,52,深康佳Ａ,10.05
38,39,手游概念,BK0642,1020.76,6.23,0.61,723968752000,0.08,22,21,综艺股份,10.04
39,40,无人机,BK0704,1807.34,10.91,0.61,2314857664000,0.05,78,57,宗申动力,10.0
40,41,稀土永磁,BK0578,1891.78,11.33,0.6,841345872000,0.02,18,29,铭普光磁,10.0
41,42,汽车一体化压铸,BK1093,979.08,5.76,0.59,265213562000,0.14,14,10,宗申动力,10.0
42,43,商业航天,BK0963,1389.03,8.15,0.59,1450650912000,0.1,74,54,宗申动力,10.0
43,44,短剧互动游戏,BK1151,1028.89,5.97,0.58,321832656000,0.05,10,14,中文在线,7.66
44,45,NFT概念,BK0997,1318.99,7.44,0.57,476849440000,0.07,19,29,新晨科技,17.87
45,46,天基互联,BK0921,1355.02,7.61,0.56,512339024000,0.12,23,14,亚光科技,10.91
46,47,肝炎概念,BK1078,1115.45,5.99,0.54,448878992000,0.05,21,12,华纳药厂,14.75
47,48,阿兹海默,BK0894,1618.08,8.23,0.51,140977792000,0.11,5,6,双成药业,5.56
48,49,环氧丙烷,BK1011,495.34,2.44,0.5,338060800000,0.0,10,3,美邦科技,5.45
49,50,网络游戏,BK0509,9896.85,47.76,0.48,854140608000,0.09,29,32,综艺股份,10.04
50,51,军民融合,BK0808,1440.85,6.86,0.48,2851501120000,0.07,87,67,宗申动力,10.0
51,52,远程办公,BK0912,1239.21,5.76,0.47,671343472000,0.11,19,15,拓维信息,9.99
52,53,5G概念,BK0714,1088.81,4.99,0.46,7833690624000,0.06,146,139,铭普光磁,10.0
53,54,氮化镓,BK0916,1141.55,5.15,0.45,904676608000,0.11,19,24,深康佳Ａ,10.05
54,55,幽门螺杆菌概念,BK1056,805.68,3.53,0.44,478044592000,0.02,21,20,华纳药厂,14.75
55,56,跨境支付,BK1071,1613.38,6.79,0.42,10881290752000,0.01,19,23,四川长虹,9.98
56,57,ST股,BK0511,4433.75,18.6,0.42,305544752000,0.04,51,35,*ST中润,4.86
57,58,国产芯片,BK0891,2769.88,11.31,0.41,9110546944000,0.08,128,199,深康佳Ａ,10.05
58,59,IGBT概念,BK1048,779.57,3.12,0.4,2034787744000,0.06,13,21,上海贝岭,10.0
59,60,人造肉,BK0866,862.49,3.37,0.39,164933052000,0.04,7,8,雪榕生物,4.99
60,61,湖北自贸,BK0926,1288.53,4.96,0.39,318540080000,0.04,14,12,台基股份,5.92
61,62,京津冀,BK0684,1448.8,5.38,0.37,564169248000,0.04,18,22,电投产融,10.0
62,63,碳纤维,BK1171,1076.73,3.89,0.36,321591984000,0.07,17,11,万丰奥威,7.21
63,64,超清视频,BK0859,1615.36,5.83,0.36,2293873120000,0.06,41,51,深康佳Ａ,10.05
64,65,铜缆高速连接,BK1168,1250.73,4.42,0.35,557678560000,0.06,15,13,太辰光,12.38
65,66,多模态AI,BK1153,952.65,3.34,0.35,667746064000,0.04,14,20,中文在线,7.66
66,67,军工,BK0490,54799.93,186.09,0.34,5678558464000,0.05,225,198,宗申动力,10.0
67,68,影视概念,BK0847,753.58,2.54,0.34,520134288000,0.06,20,34,中化岩土,10.04
68,69,3D玻璃,BK0881,994.64,3.31,0.33,259995103000,0.03,8,10,维宏股份,7.97
69,70,代糖概念,BK0938,818.38,2.69,0.33,124067417000,0.01,7,7,蔚蓝生物,3.28
70,71,电子后视镜,BK1125,1348.24,4.43,0.33,314311504000,0.23,8,11,欧菲光,7.98
71,72,时空大数据,BK1130,1251.09,3.96,0.32,150326324000,0.23,12,11,航天宏图,9.19
72,73,长寿药,BK0936,876.71,2.71,0.31,125865925000,0.02,6,3,雪榕生物,4.99
73,74,壳资源,BK0820,839.58,2.59,0.31,229536441000,0.04,31,30,文一科技,10.01
74,75,AI语料,BK1172,821.27,2.5,0.31,306041776000,0.07,10,12,中文在线,7.66
75,76,股权激励,BK0567,2537.08,7.57,0.3,4307110400000,0.04,86,91,泰禾智能,10.0
76,77,新型工业化,BK1150,930.79,2.72,0.29,1453436192000,0.03,32,44,华东重机,9.95
77,78,拼多多概念,BK0957,886.19,2.54,0.29,101899255000,0.09,11,11,兆驰股份,5.25
78,79,全息技术,BK0699,1811.49,5.17,0.29,126172885000,0.03,5,4,中光学,2.35
79,80,元宇宙概念,BK1009,1732.77,4.93,0.29,4198262864000,0.08,51,78,新晨科技,17.87
80,81,工业母机,BK1004,1199.7,3.4,0.28,1101136000000,0.04,41,36,华东重机,9.95
81,82,鸿蒙概念,BK0953,1430.48,3.91,0.27,1985650464000,0.13,38,46,华立股份,10.0
82,83,大飞机,BK0814,1271.73,3.45,0.27,1730298832000,0.04,52,34,上海电气,10.06
83,84,车联网(车路云),BK0920,1272.17,3.44,0.27,5373170944000,0.07,85,106,恒拓开源,29.97
84,85,合成生物,BK1174,998.17,2.67,0.27,1215867680000,0.03,43,50,欧康医药,16.82
85,86,碳基材料,BK1006,697.69,1.84,0.26,166680945000,0.02,9,8,海特高新,2.72
86,87,轮毂电机,BK1099,834.93,2.2,0.26,52162821000,0.01,2,3,万安科技,1.72
87,88,体育产业,BK0708,998.0,2.6,0.26,784738656000,0.02,32,25,天和防务,10.44
88,89,肝素概念,BK0944,852.49,2.17,0.26,214328283000,0.03,6,5,常山药业,4.52
89,90,AB股,BK0498,9944.56,25.26,0.25,1333187344000,0.02,27,29,深康佳Ａ,10.05
90,91,户外露营,BK1079,983.87,2.45,0.25,110172251000,0.02,16,6,西大门,2.1
91,92,屏下摄像,BK0947,845.56,2.1,0.25,484855776000,0.07,4,4,欧菲光,7.98
92,93,国家安防,BK0667,2491.82,6.14,0.25,1574646192000,0.07,54,53,天和防务,10.44
93,94,无人驾驶,BK0802,1486.98,3.61,0.24,5233808128000,0.05,100,102,光智科技,20.01
94,95,基因测序,BK0693,1659.56,3.88,0.23,480994656000,0.02,23,17,艾德生物,6.89
95,96,裸眼3D,BK1142,930.29,2.11,0.23,278108208000,0.01,8,9,当虹科技,5.75
96,97,星闪概念,BK1149,1268.81,2.84,0.22,499289408000,0.13,14,17,艾融软件,8.03
97,98,ETC,BK0875,1491.68,3.26,0.22,361897792000,0.06,21,23,云星宇,9.64
98,99,超导概念,BK0679,3339.69,7.16,0.21,217338159000,0.05,4,8,永鼎股份,7.98
99,100,电子纸概念,BK1057,995.59,2.13,0.21,325964624000,0.01,6,4,亚世光电,2.59
100,101,社保重仓,BK0520,9497.36,20.29,0.21,428587328000,0.01,14,13,德科立,5.09
101,102,MiniLED,BK0902,1549.03,3.3,0.21,843110816000,0.04,26,26,深康佳Ａ,10.05
102,103,在线教育,BK0662,1866.76,3.97,0.21,1426281408000,0.08,44,57,松发股份,9.99
103,104,抖音小店,BK0928,851.65,1.8,0.21,160835965000,0.03,10,10,盛通股份,2.67
104,105,超级电容,BK0703,3061.42,6.46,0.21,600946640000,0.02,14,14,山东章鼓,3.49
105,106,充电桩,BK0700,2014.55,4.21,0.21,3833417408000,0.04,87,101,麦格米特,10.01
106,107,工业互联,BK0832,1771.59,3.67,0.21,4120795904000,0.05,74,85,四川长虹,9.98
107,108,流感,BK0906,1402.49,2.89,0.21,1283342480000,0.02,38,45,华纳药厂,14.75
108,109,沪企改革,BK0672,2280.33,4.67,0.21,865125440000,0.03,10,19,上海电气,10.06
109,110,创新药,BK1106,1060.03,2.17,0.21,1547174976000,0.01,31,41,华纳药厂,14.75
110,111,病毒防治,BK0675,2296.49,4.64,0.2,1558426576000,0.02,55,45,华纳药厂,14.75
