,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,文化传媒,BK0486,8911.81,229.75,2.65,1022040192000,1.12,93,3,中文在线,20.0
1,2,保险,BK0474,1444.6,26.42,1.86,3180819136000,0.15,6,0,天茂集团,3.37
2,3,电源设备,BK1034,1545.69,22.36,1.47,298576704000,0.73,17,11,麦格米特,10.01
3,4,汽车整车,BK1029,1450.67,17.9,1.25,2054892672000,0.51,23,1,江淮汽车,5.78
4,5,酿酒行业,BK0477,50048.33,491.44,0.99,3767137792000,0.28,34,4,岩石股份,6.73
5,6,小金属,BK1027,1646.22,14.29,0.88,611940896000,0.51,19,18,华阳新材,9.97
6,7,电力行业,BK0428,15159.37,126.75,0.84,3025237344000,0.18,61,16,电投产融,10.0
7,8,装修建材,BK0476,11080.7,92.19,0.84,424872496000,0.51,43,24,松发股份,9.99
8,9,石油行业,BK0464,4944.03,40.83,0.83,3864784064000,0.05,15,4,茂化实华,3.86
9,10,装修装饰,BK0725,423.25,3.21,0.76,113535939000,0.51,21,16,华立股份,10.0
10,11,美容护理,BK1035,742.06,4.96,0.67,295323216000,1.28,19,8,青岛金王,6.15
11,12,航运港口,BK0450,9471.63,60.78,0.65,1046285856000,0.19,21,9,凤凰航运,10.09
12,13,农牧饲渔,BK0433,11596.81,70.24,0.61,922330720000,0.55,54,27,雪榕生物,6.3
13,14,贸易行业,BK0484,8662.44,46.33,0.54,301194704000,1.37,14,18,汇鸿集团,10.13
14,15,中药,BK1040,1365.54,6.57,0.48,933050256000,0.53,41,26,香雪制药,6.29
15,16,房地产开发,BK0451,11701.38,52.62,0.45,1103664736000,0.41,51,25,深振业Ａ,8.21
16,17,非金属材料,BK1020,1076.45,4.81,0.45,349318544000,0.97,11,21,天马新材,29.98
17,18,游戏,BK1046,1043.37,3.69,0.35,322732272000,1.29,13,11,神州泰岳,3.63
18,19,食品饮料,BK0438,21838.61,76.17,0.35,1532284656000,0.38,83,30,绝味食品,5.26
19,20,包装材料,BK0733,839.03,2.55,0.3,113927845000,0.59,21,7,盛通股份,5.78
20,21,航空机场,BK0420,4433.31,13.43,0.3,634533248000,0.13,6,5,中信海直,3.91
21,22,公用事业,BK0427,7618.41,21.14,0.28,184008749000,0.22,11,8,东望时代,3.93
22,23,银行,BK0475,3603.6,9.92,0.28,12689160960000,0.04,27,9,招商银行,1.62
23,24,风电设备,BK1032,935.94,2.4,0.26,274678576000,1.2,16,12,海力风电,5.71
24,25,采掘行业,BK1017,1080.02,2.72,0.25,303210832000,0.19,14,6,仁智股份,4.55
25,26,水泥建材,BK0424,21917.84,53.48,0.24,347540848000,0.55,9,14,四川双马,10.02
26,27,教育,BK0740,603.02,1.42,0.24,81932329000,2.41,9,5,凯文教育,4.6
27,28,医药商业,BK1042,935.36,1.92,0.21,324233200000,0.27,20,9,百洋医药,1.95
28,29,化肥行业,BK0731,1192.38,2.42,0.2,336456080000,0.3,10,7,金正大,1.33
29,30,化学制药,BK0465,27832.37,49.82,0.18,1712745904000,0.53,75,66,科源制药,20.01
30,31,化学原料,BK1019,694.73,1.1,0.16,804298336000,0.25,45,31,金瑞矿业,6.42
31,32,工程建设,BK0425,19420.76,29.8,0.15,1509645168000,0.27,25,38,中化岩土,10.04
32,33,房地产服务,BK1045,997.09,1.42,0.14,91370699000,0.76,10,7,阳光股份,3.74
33,34,家电行业,BK0456,17498.74,20.49,0.12,1918553968000,0.67,44,47,四川长虹,9.98
34,35,能源金属,BK1015,455.45,0.5,0.11,326994608000,0.63,5,8,ST盛屯,3.44
