,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,酿酒行业,BK0477,54848.42,1739.07,3.27,3932449728000,0.65,37,1,水井坊,9.99
1,2,农牧饲渔,BK0433,13774.39,316.92,2.35,1021338736000,2.09,73,16,东方海洋,9.89
2,3,房地产开发,BK0451,14138.01,308.32,2.23,1294443760000,1.08,82,8,荣盛发展,10.14
3,4,公用事业,BK0427,8306.07,180.67,2.22,197856332000,0.68,21,0,渤海股份,9.73
4,5,食品饮料,BK0438,25090.79,530.62,2.16,1633048144000,0.84,107,8,黑芝麻,10.0
5,6,汽车服务,BK1016,935.17,16.18,1.76,67760934000,1.1,11,2,德众汽车,5.23
6,7,商业百货,BK0482,14876.58,254.22,1.74,514355648000,1.25,53,6,供销大集,10.08
7,8,农药兽药,BK0730,988.45,16.08,1.65,273630320000,0.66,42,6,蓝丰生化,10.03
8,9,电池,BK1033,962.76,15.65,1.65,2082117552000,1.02,60,14,厦钨新能,12.46
9,10,工程建设,BK0425,23038.38,373.09,1.65,1611327472000,0.49,58,9,大千生态,10.04
10,11,房地产服务,BK1045,1197.57,18.83,1.6,101868384000,2.41,14,4,阳光股份,10.0
11,12,半导体,BK1036,1384.74,20.86,1.53,4457937664000,1.08,131,26,龙图光罩,16.07
12,13,旅游酒店,BK0485,14935.89,217.43,1.48,374610016000,0.98,34,2,大连圣亚,6.69
13,14,燃气,BK1028,1502.89,20.78,1.4,285058384000,0.44,31,2,凯添燃气,9.47
14,15,水泥建材,BK0424,25104.6,345.67,1.4,390093472000,0.72,25,3,亚泰集团,4.48
15,16,航空机场,BK0420,5196.74,70.61,1.38,737008576000,2.29,13,1,海航控股,6.93
16,17,环保行业,BK0728,418.86,5.68,1.37,638805920000,1.42,100,17,启迪环境,10.04
17,18,汽车零部件,BK0481,34149.09,452.65,1.34,1689444720000,1.81,150,66,天汽模,10.05
18,19,电网设备,BK0457,24953.63,303.86,1.23,1287391616000,0.7,103,28,亿能电力,29.98
