,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,航天航空,BK0480,39861.6,2550.27,6.84,904816128000,3.15,45,0,炼石航空,9.99
1,2,多元金融,BK0738,580.51,27.87,5.04,500724176000,4.34,20,1,海德股份,9.96
2,3,软件开发,BK0737,882.12,40.74,4.84,1964541104000,5.92,185,8,卓朗科技,9.86
3,4,水泥建材,BK0424,21310.13,825.95,4.03,348437920000,2.85,28,0,四川金顶,10.0
4,5,消费电子,BK1037,1222.65,46.91,3.99,1918860848000,3.24,92,7,福日电子,10.0
5,6,工程咨询服务,BK0726,617.34,22.15,3.72,167958789000,4.24,39,4,中岩大地,10.02
6,7,电子元件,BK0459,19465.01,685.71,3.65,1704194608000,2.87,135,5,可川科技,10.0
7,8,环保行业,BK0728,356.24,12.52,3.64,562012544000,4.02,111,6,启迪环境,9.78
8,9,装修装饰,BK0725,395.7,13.11,3.43,108256477000,2.31,37,2,维业股份,19.95
9,10,房地产服务,BK1045,995.9,32.52,3.38,91637402000,6.07,17,2,世联行,9.96
10,11,半导体,BK1036,1180.32,37.8,3.31,3801902000000,4.64,142,15,瑞芯微,10.0
11,12,教育,BK0740,560.23,17.84,3.29,76021616000,9.46,15,0,中公教育,9.85
12,13,银行,BK0475,3629.86,114.82,3.27,12963842304000,0.51,42,0,渝农商行,8.76
13,14,工程建设,BK0425,18702.28,571.13,3.15,1493216160000,1.72,66,2,成都路桥,9.92
14,15,光学光电子,BK1038,1179.52,35.98,3.15,922133392000,2.38,92,9,经纬辉开,19.97
15,16,互联网服务,BK0447,19112.48,579.65,3.13,1468063872000,5.2,142,6,荣科科技,19.99
16,17,玻璃玻纤,BK0546,30533.31,886.35,2.99,329304704000,1.35,21,1,戈碧迦,24.91
17,18,非金属材料,BK1020,921.78,26.35,2.94,329118416000,2.88,29,3,沃尔核材,10.04
18,19,有色金属,BK0478,14546.92,412.75,2.92,1070574944000,2.27,68,3,光智科技,20.02
19,20,房地产开发,BK0451,11610.56,322.17,2.85,1097489600000,2.52,88,2,信达地产,10.12
20,21,通信设备,BK0448,10893.35,298.72,2.82,1378773088000,3.93,96,12,神宇股份,13.92
21,22,计算机设备,BK0735,1068.29,28.23,2.71,839356416000,3.82,45,5,达华智能,10.1
22,23,仪器仪表,BK0458,11181.0,285.19,2.62,248050561000,2.63,66,5,东方中科,10.0
23,24,船舶制造,BK0729,828.34,21.01,2.6,426815520000,1.77,8,2,天海防务,9.68
24,25,橡胶制品,BK1018,1145.7,28.18,2.52,264224167000,1.69,28,1,通易航天,14.19
25,26,专用设备,BK0910,1954.41,46.65,2.45,1292541376000,2.25,233,24,长城军工,10.05
26,27,专业服务,BK1043,1032.8,24.36,2.42,187025448000,1.92,34,1,西测测试,9.25
27,28,贸易行业,BK0484,7994.09,186.78,2.39,287109552000,3.46,26,7,建邦科技,13.49
28,29,工程机械,BK0739,1266.05,29.48,2.38,607163136000,1.76,28,4,川润股份,9.93
29,30,通信服务,BK0736,900.99,20.89,2.37,3350637232000,1.73,35,3,世纪鼎利,11.6
30,31,文化传媒,BK0486,8116.92,182.69,2.3,957032864000,2.32,85,14,华闻集团,10.0
31,32,电网设备,BK0457,21817.79,474.64,2.22,1207750512000,2.6,117,13,新宏泰,10.0
32,33,装修建材,BK0476,10809.45,221.96,2.1,419209936000,2.6,58,9,三棵树,10.01
33,34,通用设备,BK0545,24813.94,507.23,2.09,973833728000,2.65,192,22,亿利达,10.06
34,35,塑料制品,BK0454,10263.91,205.23,2.04,324629424000,3.21,78,5,天秦装备,12.61
35,36,电机,BK1030,1469.82,29.26,2.03,156403916000,2.74,24,2,兆威机电,8.54
36,37,钢铁行业,BK0479,6607.18,129.14,1.99,838350656000,1.02,42,7,华达新材,10.02
37,38,交运设备,BK0429,8233.26,159.28,1.97,659872272000,1.27,41,6,铁大科技,11.34
38,39,电子化学品,BK1039,1391.99,26.36,1.93,245589694000,3.57,21,3,瑞联新材,9.84
39,40,农牧饲渔,BK0433,11227.48,210.52,1.91,907840192000,2.03,74,11,正虹科技,10.04
40,41,游戏,BK1046,923.99,16.85,1.86,285596160000,2.91,24,3,*ST文投,4.95
41,42,电池,BK1033,808.04,14.51,1.83,1916779056000,2.39,61,12,长虹能源,13.76
42,43,公用事业,BK0427,7527.31,134.9,1.82,184622419000,1.68,22,2,国中水务,4.78
43,44,汽车服务,BK1016,756.92,13.45,1.81,60868682000,1.83,12,1,漳州发展,5.86
44,45,光伏设备,BK1031,1061.31,18.83,1.81,1431297952000,2.14,63,13,国晟科技,9.87
45,46,保险,BK0474,1411.89,25.03,1.8,3158851024000,0.61,5,1,中国人保,3.55
46,47,家电行业,BK0456,16659.56,293.02,1.79,1925952992000,2.12,75,15,四川九洲,10.0
47,48,电源设备,BK1034,1430.97,24.89,1.77,267405878000,1.29,24,3,新雷能,6.52
48,49,能源金属,BK1015,442.66,7.49,1.72,319057024000,2.57,12,0,威领股份,3.77
49,50,小金属,BK1027,1567.84,26.44,1.72,602460272000,1.57,32,5,宜安科技,6.36
50,51,家用轻工,BK0440,31161.64,523.72,1.71,249634541000,2.41,30,3,英派斯,10.01
51,52,化学制品,BK0538,20176.17,323.34,1.63,1188132192000,1.92,133,27,宏达新材,10.09
52,53,物流行业,BK0422,5795.34,91.81,1.61,1118469040000,0.83,49,6,中创物流,5.67
53,54,贵金属,BK0732,1046.74,16.18,1.57,819157984000,1.56,11,1,恒邦股份,3.02
54,55,煤炭行业,BK0437,10932.42,165.66,1.54,1991520640000,0.97,28,5,新大洲A,9.89
55,56,铁路公路,BK0421,7914.79,115.09,1.48,416678112000,1.77,23,4,重庆路桥,6.95
56,57,美容护理,BK1035,720.2,10.11,1.42,291582640000,3.3,19,9,青岛金王,10.14
57,58,综合行业,BK0539,7979.0,110.65,1.41,141222390000,3.83,13,7,泰达股份,9.95
58,59,汽车零部件,BK0481,28404.55,346.54,1.24,1500178240000,2.45,170,42,北方长龙,19.99
59,60,化学原料,BK1019,677.09,8.25,1.23,823615872000,1.04,68,14,卫星化学,5.23
60,61,化纤行业,BK0471,11268.29,128.38,1.15,422672560000,1.03,21,7,恒天海龙,8.16
61,62,航运港口,BK0450,9351.52,105.32,1.14,1059639360000,0.8,27,5,招商南油,6.03
62,63,造纸印刷,BK0470,7615.91,85.73,1.14,242483963000,2.03,31,8,翔港科技,6.49
63,64,燃气,BK1028,1376.82,15.36,1.13,276613232000,1.01,24,6,凯添燃气,3.74
64,65,农药兽药,BK0730,830.51,9.02,1.1,237575068000,1.21,30,16,中农联合,9.99
65,66,化肥行业,BK0731,1180.93,12.62,1.08,332227680000,1.6,16,6,川发龙蟒,4.86
66,67,石油行业,BK0464,4844.59,48.63,1.01,3995225376000,0.24,15,3,国际实业,6.16
67,68,电力行业,BK0428,15047.69,138.59,0.93,3083134448000,0.89,57,18,大连热电,10.0
68,69,风电设备,BK1032,896.68,8.08,0.91,266324552000,1.89,21,7,飞沃科技,4.61
69,70,包装材料,BK0733,818.62,6.87,0.85,112782140000,2.06,20,6,天元股份,4.89
70,71,酿酒行业,BK0477,49467.07,411.92,0.84,3860894576000,1.26,25,12,威龙股份,4.3
71,72,化学制药,BK0465,26363.47,215.05,0.82,1665523152000,1.57,101,36,广生堂,7.54
72,73,生物制品,BK1044,787.04,5.93,0.76,1255424784000,1.77,44,30,双成药业,9.98
73,74,医疗器械,BK1041,747.37,5.47,0.74,1327172896000,1.73,72,45,爱朋医疗,9.54
74,75,纺织服装,BK0436,8825.69,62.86,0.72,473705904000,1.53,67,23,日播时尚,9.99
75,76,医疗服务,BK0727,912.41,5.84,0.64,664772000000,2.6,30,14,嘉和美康,4.94
76,77,珠宝首饰,BK0734,343.3,2.13,0.62,138850595000,1.37,13,4,莱绅通灵,3.14
77,78,中药,BK1040,1326.44,7.75,0.59,920445776000,1.63,46,22,香雪制药,4.05
78,79,汽车整车,BK1029,1428.22,8.12,0.57,2057654592000,1.54,16,6,江淮汽车,4.74
79,80,食品饮料,BK0438,21403.59,103.09,0.48,1597641856000,1.77,71,47,国投中鲁,7.71
80,81,医药商业,BK1042,924.77,3.78,0.41,321728192000,1.67,15,11,瑞康医药,4.45
81,82,旅游酒店,BK0485,12969.41,2.06,0.02,343221504000,2.0,20,17,中科云网,2.93
82,83,航空机场,BK0420,4317.5,-9.4,-0.22,630352464000,0.74,5,8,中信海直,4.29
83,84,商业百货,BK0482,12417.2,-71.46,-0.57,418237888000,2.25,30,29,博士眼镜,3.8
84,85,证券,BK0473,140409.85,-1319.51,-0.93,3340790704000,3.34,13,36,海通证券,9.89
85,86,采掘行业,BK1017,1073.22,-11.47,-1.06,308864560000,1.06,9,9,金诚信,4.06
