,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
62,63,珠宝首饰,BK0734,347.58,-0.16,-0.05,135654403000,0.27,9,6,迪阿股份,0.86
63,64,电力行业,BK0428,16130.62,-15.38,-0.1,3066448512000,0.3,28,46,绿能慧充,5.29
64,65,贵金属,BK0732,1114.26,-1.17,-0.1,803156016000,0.36,2,11,玉龙股份,0.25
65,66,有色金属,BK0478,15690.65,-28.37,-0.18,1092242928000,0.96,32,36,和胜股份,10.03
66,67,农牧饲渔,BK0433,12552.98,-28.22,-0.22,965390768000,1.18,45,41,欧福蛋业,7.45
67,68,铁路公路,BK0421,8162.2,-18.98,-0.23,688382752000,0.38,9,15,江西长运,2.04
68,69,装修建材,BK0476,11743.75,-29.39,-0.25,447705680000,1.16,34,36,顾地科技,5.17
69,70,医药商业,BK1042,988.16,-3.56,-0.36,330672688000,0.89,11,20,健之佳,8.15
70,71,综合行业,BK0539,9439.41,-37.37,-0.39,185029663000,1.65,9,11,山高环能,9.98
71,72,保险,BK0474,1391.34,-5.6,-0.4,3054806416000,0.08,2,4,中国平安,0.45
72,73,造纸印刷,BK0470,8243.71,-42.67,-0.51,239522337000,0.62,18,19,凯腾精工,7.02
73,74,旅游酒店,BK0485,14021.49,-75.68,-0.54,351031456000,0.81,12,23,同庆楼,3.71
74,75,环保行业,BK0728,390.77,-2.12,-0.54,600929664000,1.1,61,52,绿茵生态,10.07
75,76,工程建设,BK0425,21221.43,-117.71,-0.55,1520840752000,0.43,27,36,森特股份,4.89
76,77,银行,BK0475,3519.49,-20.33,-0.57,12316194304000,0.07,3,37,江苏银行,0.67
77,78,煤炭行业,BK0437,10890.03,-64.23,-0.59,1908800928000,0.25,8,25,安泰集团,0.93
78,79,小金属,BK1027,1873.07,-20.9,-1.1,667967360000,2.68,14,23,英洛华,9.96
79,80,商业百货,BK0482,13780.72,-180.12,-1.29,469292928000,1.23,16,43,爱施德,10.01
80,81,房地产开发,BK0451,12831.91,-175.85,-1.35,1181210848000,1.03,16,74,华夏幸福,9.96
81,82,水泥建材,BK0424,23484.02,-335.79,-1.41,370433696000,0.87,4,23,西藏天路,3.87
82,83,能源金属,BK1015,480.87,-7.34,-1.5,342485776000,1.35,3,10,融捷股份,0.87
83,84,教育,BK0740,665.86,-12.09,-1.78,93432400000,4.08,5,10,博通股份,1.53
84,85,钢铁行业,BK0479,6954.75,-144.62,-2.04,833958528000,1.01,11,38,百甲科技,4.84
85,86,房地产服务,BK1045,1074.67,-34.43,-3.1,90753535000,2.75,2,16,全新好,3.86
