,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
419,420,上海自贸,BK0643,2933.86,-3.31,-0.11,975745536000,0.14,23,10,兰生股份,3.8
420,421,有机硅,BK0961,1174.82,-1.41,-0.12,308684560000,0.08,18,11,华盛锂电,0.63
421,422,屏下摄像,BK0947,1032.63,-1.24,-0.12,542302448000,0.12,4,3,京东方Ａ,0.68
422,423,汽车一体化压铸,BK1093,1101.26,-1.39,-0.13,302659952000,0.19,16,10,机科股份,1.84
423,424,华为汽车,BK0984,1794.25,-2.37,-0.13,1610239872000,0.17,51,37,光峰科技,3.29
424,425,低价股,BK1053,949.1,-1.26,-0.13,1860063760000,0.14,87,67,华闻集团,5.45
425,426,次新股,BK0501,28039.94,-37.8,-0.13,736419536000,0.38,52,41,乔锋智能,4.66
426,427,GDR,BK0868,929.2,-1.29,-0.14,1516880208000,0.03,5,6,华泰证券,0.78
427,428,储能,BK0989,1673.99,-2.68,-0.16,7786908416000,0.13,166,137,三维化学,10.06
428,429,机器人执行器,BK1145,1118.83,-1.9,-0.17,370730080000,0.26,16,7,昊志机电,1.67
429,430,Chiplet概念,BK1101,1523.8,-2.79,-0.18,612111408000,0.32,15,10,长电科技,2.6
430,431,宁组合,BK1000,556.64,-1.05,-0.19,4263243312000,0.06,11,13,爱尔眼科,0.64
431,432,阿兹海默,BK0894,1688.65,-3.54,-0.21,139991552000,0.21,11,2,睿智医药,0.58
432,433,PVDF概念,BK1012,818.6,-1.76,-0.21,256214884000,0.06,6,9,上海新阳,0.92
433,434,转基因,BK0907,1400.93,-3.11,-0.22,125731529000,0.09,9,7,南模生物,1.19
434,435,麒麟电池,BK1092,1143.04,-2.59,-0.23,1283595120000,0.1,6,3,铭利达,0.61
435,436,地热能,BK0622,3280.24,-7.62,-0.23,97520139000,0.33,10,2,豫能控股,0.94
436,437,民爆概念,BK1066,1296.81,-3.09,-0.24,145821161000,0.11,10,6,晓程科技,1.59
437,438,毛发医疗,BK0996,856.7,-2.14,-0.25,97261877000,0.23,9,5,朗姿股份,0.74
438,439,钠离子电池,BK0988,1264.31,-3.57,-0.28,2020196544000,0.15,20,28,道氏技术,5.61
439,440,锂电池,BK0574,2922.43,-8.35,-0.28,7823530496000,0.16,173,188,佛塑科技,10.0
440,441,粮食概念,BK1086,771.57,-2.25,-0.29,182185435000,0.2,12,11,亚盛集团,3.06
441,442,高压快充,BK1144,993.93,-3.01,-0.3,373362352000,0.16,18,20,汉宇集团,1.58
442,443,通用航空,BK0625,5835.33,-17.8,-0.3,1167000432000,0.14,26,14,荣盛发展,0.98
443,444,熔盐储能,BK1103,755.7,-2.56,-0.34,71565458000,0.11,4,4,西子洁能,0.34
444,445,环氧丙烷,BK1011,540.01,-2.01,-0.37,344279296000,0.13,8,7,中触媒,1.18
445,446,租售同权,BK0822,814.53,-3.08,-0.38,491450096000,0.13,6,9,天健集团,0.7
446,447,供销社概念,BK1109,1009.52,-4.02,-0.4,132012942000,0.51,9,5,新力金融,0.71
447,448,固态电池,BK0968,1616.54,-7.27,-0.45,4765666816000,0.22,53,101,有研新材,10.03
448,449,滨海新区,BK0566,9779.9,-47.37,-0.48,232885682000,0.35,10,8,渤海化学,0.73
449,450,锂矿概念,BK1173,1234.35,-7.62,-0.61,2514463056000,0.11,10,26,紫金矿业,1.47
450,451,钛白粉,BK0805,1040.55,-8.51,-0.81,146556224000,0.14,1,9,安宁股份,0.59
451,452,刀片电池,BK0951,2220.57,-21.47,-0.96,996672064000,0.3,3,10,和胜股份,0.37
452,453,ST股,BK0511,5821.97,-60.67,-1.03,432901632000,0.37,27,84,*ST科新,4.95
453,454,昨日触板,BK0817,449.11,-10.14,-2.21,379697088000,0.62,6,56,金财互联,9.95
