,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,光伏设备,BK1031,1280.76,33.91,2.72,1684796320000,1.07,65,11,双良节能,10.08
1,2,多元金融,BK0738,613.49,14.53,2.43,510315104000,0.67,20,2,中航产融,10.13
2,3,工程建设,BK0425,21668.09,449.18,2.12,1501228752000,0.26,52,15,中化岩土,10.13
3,4,水泥建材,BK0424,24203.47,482.59,2.03,376898288000,0.76,23,5,福建水泥,9.89
4,5,风电设备,BK1032,1043.9,18.88,1.84,304179232000,0.79,22,6,电气风电,10.26
5,6,电力行业,BK0428,16212.19,262.25,1.64,3077990128000,0.27,68,11,电投产融,10.01
6,7,教育,BK0740,691.32,9.94,1.46,96142241000,3.25,7,8,豆神教育,20.02
7,8,航空机场,BK0420,4677.54,59.47,1.29,668022592000,0.31,8,4,中信海直,6.23
8,9,证券,BK0473,145368.03,1754.87,1.22,3383550976000,0.48,44,5,第一创业,9.99
9,10,装修装饰,BK0725,482.45,5.74,1.2,122084359000,0.82,27,11,宝鹰股份,10.2
10,11,综合行业,BK0539,9700.88,103.59,1.08,197188871000,0.67,12,7,常山北明,10.01
11,12,环保行业,BK0728,402.86,4.08,1.02,614216656000,1.01,88,30,岭南股份,10.12
12,13,公用事业,BK0427,8066.03,77.49,0.97,194043239000,0.53,20,4,国中水务,7.39
13,14,汽车服务,BK1016,895.22,8.38,0.94,66919579000,1.46,7,6,申华控股,9.96
14,15,工程咨询服务,BK0726,700.97,6.16,0.89,195082586000,1.04,32,11,汉嘉设计,5.17
15,16,包装材料,BK0733,912.43,7.8,0.86,122259478000,0.41,19,9,盛通股份,8.45
16,17,工程机械,BK0739,1455.78,10.45,0.72,607017968000,0.6,18,14,川润股份,8.89
17,18,电网设备,BK0457,24133.46,159.93,0.67,1256546960000,0.52,65,62,许昌智能,22.21
18,19,装修建材,BK0476,11940.22,76.18,0.64,445182592000,0.91,35,32,松发股份,9.99
19,20,钢铁行业,BK0479,6986.27,40.22,0.58,840344272000,0.38,29,15,酒钢宏兴,8.74
20,21,铁路公路,BK0421,8289.72,46.01,0.56,421694736000,0.26,13,9,大众交通,5.88
21,22,房地产开发,BK0451,12817.15,64.87,0.51,1161011344000,0.52,48,43,华夏幸福,10.14
