,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日连板_含一字,BK1051,377.2,23.16,6.54,377615712000,1.78,53,3,深康佳Ａ,9.98
1,2,昨日连板,BK0816,79105.17,4074.01,5.43,223040151000,2.83,33,3,宝馨科技,10.0
2,3,昨日涨停_含一字,BK1050,29507.79,1364.56,4.85,1924188608000,2.23,152,30,深康佳Ａ,9.98
3,4,昨日涨停,BK0815,161.19,6.33,4.09,1722000336000,2.57,127,34,深纺织Ａ,10.02
4,5,低碳冶金,BK0979,934.45,28.24,3.12,305658608000,0.27,6,2,八一钢铁,9.6
5,6,并购重组概念,BK1181,1030.47,30.47,3.05,1155063344000,0.82,41,14,电投产融,10.0
6,7,粮食概念,BK1086,710.77,19.95,2.89,174897430000,0.44,25,2,东方集团,9.96
7,8,转基因,BK0907,1252.56,31.16,2.55,112061582000,0.52,11,4,荃银高科,14.43
8,9,RCS概念,BK0919,1242.79,28.89,2.38,187053192000,0.49,19,3,万隆光电,13.42
9,10,数字水印,BK1129,911.01,20.64,2.32,98538723000,0.74,15,2,吉大正元,9.54
10,11,电子竞技,BK0853,1119.71,24.15,2.2,2818320192000,0.23,28,6,深 赛 格,9.98
11,12,AI语料,BK1172,861.8,18.23,2.16,320562192000,0.77,20,5,华策影视,10.2
12,13,股权转让,BK0803,620.55,13.09,2.15,173705052000,0.68,22,14,微创光电,27.55
13,14,赛马概念,BK0709,590.11,11.9,2.06,16775908000,0.35,4,0,新 华 都,2.45
14,15,钒电池,BK1095,1079.7,21.72,2.05,498780160000,0.9,16,4,上海电气,10.02
15,16,退税商店,BK0933,1009.31,19.4,1.96,125597381000,0.15,9,1,南宁百货,10.06
16,17,抖音小店,BK0928,910.26,17.37,1.95,169650375000,0.26,19,3,永艺股份,8.02
17,18,影视概念,BK0847,798.27,14.87,1.9,545110512000,0.45,54,4,电广传媒,10.0
18,19,Sora概念,BK1159,1307.49,24.29,1.89,312501136000,0.78,30,8,电广传媒,10.0
19,20,彩票概念,BK0671,2047.73,37.84,1.88,300399792000,0.38,18,4,新 大 陆,8.05
20,21,租售同权,BK0822,783.12,14.23,1.85,487401248000,0.26,16,2,皇庭国际,10.14
21,22,沪企改革,BK0672,2439.52,44.09,1.84,907950304000,0.63,31,9,上工申贝,10.04
22,23,土地流转,BK0632,1483.99,26.4,1.81,421942096000,0.24,38,9,东方集团,9.96
23,24,手游概念,BK0642,1058.99,18.83,1.81,742852720000,0.42,41,6,电广传媒,10.0
24,25,数据安全,BK1047,856.09,15.02,1.79,787390480000,0.34,53,21,中新赛克,9.99
