,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,光伏设备,BK1031,1291.39,31.67,2.51,1722851024000,0.0,58,15,时创能源,12.28
1,2,综合行业,BK0539,9125.6,219.84,2.47,180554491000,0.0,15,4,综艺股份,10.08
2,3,教育,BK0740,628.29,11.0,1.78,84199899000,0.0,9,6,豆神教育,20.0
3,4,风电设备,BK1032,1054.05,16.06,1.55,314845840000,0.0,18,5,恒润股份,10.03
4,5,房地产服务,BK1045,1068.02,15.01,1.43,97276241000,0.0,9,4,皇庭国际,10.14
5,6,装修装饰,BK0725,460.78,6.18,1.36,117424393000,0.0,18,17,矩阵股份,20.03
6,7,钢铁行业,BK0479,6837.75,88.43,1.31,831877696000,0.0,37,6,凌钢股份,7.22
7,8,非金属材料,BK1020,1139.17,14.06,1.25,376907904000,0.0,19,11,东和新材,22.32
8,9,工程建设,BK0425,20781.64,254.33,1.24,1504732672000,0.0,28,25,旭杰科技,29.98
9,10,化纤行业,BK0471,12293.2,137.91,1.13,436254672000,0.0,11,8,恒天海龙,10.06
10,11,仪器仪表,BK0458,13058.38,136.06,1.05,275309456000,0.0,38,21,武汉蓝电,16.93
11,12,电源设备,BK1034,1627.58,16.79,1.04,335151456000,0.0,18,8,上海电气,10.02
12,13,光学光电子,BK1038,1364.51,13.07,0.97,1041079472000,0.0,61,24,华映科技,10.05
13,14,环保行业,BK0728,392.22,3.72,0.96,602730992000,0.0,53,37,保丽洁,29.99
14,15,汽车服务,BK1016,841.96,7.7,0.92,64667143000,0.0,7,2,申华控股,10.11
15,16,能源金属,BK1015,485.23,4.4,0.92,347372608000,0.0,4,4,威领股份,7.02
16,17,房地产开发,BK0451,12406.11,110.07,0.9,1128266688000,0.0,44,22,宁波富达,10.02
17,18,美容护理,BK1035,779.75,6.87,0.89,300297360000,0.0,16,8,力合科创,10.05
18,19,家电行业,BK0456,18336.0,159.62,0.88,1931924512000,0.0,48,25,深康佳Ｂ,10.09
19,20,计算机设备,BK0735,1177.85,9.19,0.79,881948320000,0.0,22,17,微创光电,29.99
20,21,通信设备,BK0448,12475.1,92.17,0.74,1530804144000,0.0,61,33,万隆光电,16.98
21,22,电子元件,BK0459,22241.42,149.91,0.68,1840213856000,0.0,71,53,民德电子,19.99
22,23,装修建材,BK0476,11793.75,78.31,0.67,449531568000,0.0,39,13,松发股份,10.01
23,24,农牧饲渔,BK0433,12206.72,79.44,0.66,946819968000,0.0,40,27,正虹科技,9.98
24,25,专用设备,BK0910,2208.51,13.93,0.63,1416821200000,0.0,126,86,达刚控股,19.95
25,26,化学制品,BK0538,22279.35,136.5,0.62,1292485472000,0.0,78,58,佳先股份,17.87
26,27,工程咨询服务,BK0726,688.56,4.21,0.62,193390153000,0.0,27,13,中国海诚,5.21
27,28,电力行业,BK0428,15889.49,93.49,0.59,3067105344000,0.0,41,14,天富能源,10.07
28,29,电池,BK1033,923.04,5.05,0.55,2050684064000,0.0,42,27,丰元股份,10.02
29,30,水泥建材,BK0424,23105.9,121.61,0.53,358516800000,0.0,15,9,富煌钢构,10.0
30,31,橡胶制品,BK1018,1309.06,6.34,0.49,275639408000,0.0,15,13,科创新源,15.62
31,32,通用设备,BK0545,28028.11,134.76,0.48,1058814752000,0.0,106,66,赛福天,10.07
32,33,包装材料,BK0733,889.63,4.15,0.47,120905166000,0.0,16,9,珠海中富,5.34
33,34,旅游酒店,BK0485,14076.04,63.59,0.45,355627520000,0.0,11,17,长白山,9.95
34,35,玻璃玻纤,BK0546,34219.98,151.21,0.44,348278928000,0.0,14,6,山东华鹏,10.0
35,36,文化传媒,BK0486,9162.64,40.29,0.44,1045829808000,0.0,46,35,旗天科技,19.98
36,37,珠宝首饰,BK0734,359.97,1.58,0.44,142855363000,0.0,5,9,特  力Ａ,9.99
37,38,航运港口,BK0450,9722.1,38.14,0.39,1053007136000,0.0,19,6,凤凰航运,10.05
