,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日涨停_含一字,BK1050,41652.11,3258.52,8.49,1860416032000,0.0,171,5,骏创科技,30.0
1,2,昨日涨停,BK0815,219.27,16.46,8.12,1289642992000,0.0,132,5,骏创科技,30.0
2,3,昨日连板_含一字,BK1051,557.44,41.8,8.11,990494160000,0.0,70,4,晟楠科技,28.93
3,4,昨日连板,BK0816,106796.6,5811.54,5.75,340222336000,0.0,25,4,电气风电,20.02
4,5,转基因,BK0907,1503.51,58.31,4.03,133882292000,0.0,10,3,康农种业,28.08
5,6,粮食概念,BK1086,833.54,31.09,3.87,199230321000,0.0,22,2,康农种业,28.08
6,7,盲盒经济,BK0954,1053.05,23.98,2.33,107909496000,0.0,3,7,金运激光,20.04
7,8,熔盐储能,BK1103,755.91,12.36,1.66,72167033000,0.0,5,1,迪尔化工,6.1
8,9,通用航空,BK0625,6253.55,98.07,1.59,1263711584000,0.0,11,22,殷图网联,29.99
9,10,空气能热泵,BK1102,1189.13,18.25,1.56,1111295632000,0.0,15,12,海立股份,10.01
10,11,农业种植,BK0888,2049.43,30.54,1.51,738511664000,0.0,40,26,康农种业,28.08
11,12,特斯拉,BK0644,4779.53,63.67,1.35,4543194112000,0.0,110,60,吉冈精密,24.5
12,13,沪企改革,BK0672,2688.35,32.95,1.24,1005080624000,0.0,17,17,上海电气,10.02
13,14,固态电池,BK0968,1529.65,18.68,1.24,4578215168000,0.0,81,54,殷图网联,29.99
14,15,华为汽车,BK0984,1800.64,21.94,1.23,1594654528000,0.0,47,37,吉冈精密,24.5
15,16,3D玻璃,BK0881,1168.97,13.66,1.18,285666784000,0.0,9,5,春兴精工,10.13
16,17,上海自贸,BK0643,2879.98,33.15,1.16,934277584000,0.0,15,14,飞乐音响,10.08
17,18,汽车一体化压铸,BK1093,1117.49,12.56,1.14,308104448000,0.0,14,12,春兴精工,10.13
18,19,气溶胶检测,BK1065,1249.96,13.58,1.1,222393716000,0.0,3,7,禾信仪器,20.0
19,20,可控核聚变,BK1163,1274.99,13.52,1.07,418148576000,0.0,9,7,上海电气,10.02
20,21,人脑工程,BK0706,3623.36,38.2,1.07,317950112000,0.0,9,7,岩山科技,9.88
21,22,水产养殖,BK0967,850.04,8.92,1.06,284438720000,0.0,7,7,神农种业,13.92
22,23,屏下摄像,BK0947,1021.41,10.47,1.04,537867472000,0.0,3,6,维信诺,9.98
23,24,碳化硅,BK0977,1333.67,13.19,1.0,572702160000,0.0,12,17,蓝海华腾,20.02
24,25,3D打印,BK0619,4921.9,46.27,0.95,575709296000,0.0,24,25,金运激光,20.04
25,26,油气设服,BK0606,1575.47,14.35,0.92,1988918448000,0.0,20,25,无锡鼎邦,19.57
26,27,土地流转,BK0632,1636.01,14.83,0.91,464056576000,0.0,21,17,神农种业,13.92
27,28,中超概念,BK0635,2320.22,20.82,0.91,229989989000,0.0,1,4,华夏幸福,9.88
28,29,抗菌面料,BK1116,1138.55,9.96,0.88,76613290000,0.0,7,4,欣贺股份,9.89
29,30,字节概念,BK0923,1191.9,10.33,0.87,650625696000,0.0,32,28,赛为智能,20.0
30,31,地热能,BK0622,3286.7,28.19,0.87,98959995000,0.0,8,5,海立股份,10.01
31,32,汽车拆解,BK0943,1065.31,8.79,0.83,250746917000,0.0,9,8,交运股份,9.98
32,33,汽车热管理,BK1089,1429.64,11.55,0.81,696907632000,0.0,33,30,威唐工业,20.01
33,34,数字水印,BK1129,952.79,7.51,0.79,101392870000,0.0,3,10,金运激光,20.04
34,35,智能机器,BK0640,4287.11,33.57,0.79,3325117584000,0.0,70,73,华昌达,20.06
35,36,新型工业化,BK1150,1030.47,7.9,0.77,1563701456000,0.0,32,40,赛为智能,20.0
36,37,社区团购,BK0965,803.79,6.01,0.75,571202720000,0.0,14,15,宏辉果蔬,10.05
37,38,小米汽车,BK1155,1205.7,8.93,0.75,3177575584000,0.0,28,25,飞乐音响,10.08
