,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日涨停_含一字,BK1050,40061.43,1667.84,4.34,1790339376000,5.04,135,45,东北制药,10.04
1,2,昨日涨停,BK0815,210.8,7.99,3.94,1236024464000,4.84,103,38,荣盛发展,10.14
2,3,昨日连板_含一字,BK1051,535.39,19.75,3.83,953415984000,5.32,53,21,黑芝麻,10.0
3,4,粮食概念,BK1086,832.38,29.93,3.73,198407608000,3.71,21,6,黑芝麻,10.0
4,5,转基因,BK0907,1496.5,51.3,3.55,133923032000,2.77,11,5,康农种业,29.97
5,6,社区团购,BK0965,820.1,22.32,2.8,583993152000,1.76,37,1,供销大集,10.08
6,7,白酒,BK0896,2288.2,60.73,2.73,3885612064000,0.84,46,2,红棉股份,9.97
7,8,供销社概念,BK1109,1021.1,27.0,2.72,133177506000,2.35,13,1,供销大集,10.08
8,9,中超概念,BK0635,2359.25,59.85,2.6,232635247000,0.43,6,2,华夏幸福,9.88
9,10,农业种植,BK0888,2071.22,52.33,2.59,746922896000,2.42,64,16,黑芝麻,10.0
10,11,预制菜概念,BK1025,1032.98,25.88,2.57,660220896000,1.65,52,3,东方海洋,9.89
11,12,土地流转,BK0632,1662.67,41.49,2.56,470554784000,1.44,42,5,申达股份,10.03
12,13,乳业,BK0892,992.47,24.61,2.54,472799360000,0.83,28,0,麦趣尔,9.96
13,14,水产养殖,BK0967,861.81,20.69,2.46,286840464000,2.58,15,2,东方海洋,9.89
14,15,昨日连板,BK0816,103430.33,2445.27,2.42,327486000000,4.6,18,11,荣盛发展,10.14
15,16,低价股,BK1053,955.78,22.12,2.37,1895030960000,1.46,165,28,荣盛发展,10.14
16,17,鸡肉概念,BK0887,773.66,17.35,2.29,390927328000,0.56,20,0,湘佳股份,9.99
17,18,啤酒概念,BK1073,1028.07,23.0,2.29,240339892000,0.77,14,1,红棉股份,9.97
18,19,熔盐储能,BK1103,760.11,16.56,2.23,72376148000,0.61,9,0,迪尔化工,8.29
19,20,3D玻璃,BK0881,1180.11,24.8,2.15,284378752000,2.85,13,4,春兴精工,10.13
20,21,刀片电池,BK0951,2184.7,44.72,2.09,995927808000,1.33,11,2,紫江企业,9.97
21,22,汽车拆解,BK0943,1078.23,21.71,2.05,252064271000,0.82,14,3,启迪环境,10.04
22,23,免税概念,BK0927,1196.1,23.28,1.98,988630672000,0.73,26,3,供销大集,10.08
23,24,猪肉概念,BK0882,1271.74,24.27,1.95,951642512000,0.91,34,3,湘佳股份,9.99
24,25,碳化硅,BK0977,1345.65,25.17,1.91,577082688000,1.59,26,6,蓝海华腾,20.02
25,26,工业气体,BK0981,1503.28,27.85,1.89,397360912000,0.52,24,3,金通灵,16.67
26,27,乡村振兴,BK0834,1384.41,25.5,1.88,1432525616000,1.58,112,22,黑芝麻,10.0
27,28,第四代半导体,BK1121,1514.86,27.56,1.85,121953748000,0.98,3,1,衢州发展,4.43
28,29,盲盒经济,BK0954,1048.09,19.02,1.85,108055523000,1.3,8,1,金运激光,15.98
29,30,PPP模式,BK0721,696.24,12.51,1.83,2512747520000,0.77,122,26,荣盛发展,10.14
30,31,汽车一体化压铸,BK1093,1124.9,19.97,1.81,306278880000,2.09,20,8,春兴精工,10.13
31,32,特斯拉,BK0644,4801.01,85.15,1.81,4528269056000,1.59,136,63,天汽模,10.05
32,33,生态农业,BK0669,1237.13,21.5,1.77,282407296000,0.98,40,3,蓝丰生化,10.03
33,34,京津冀,BK0684,1690.07,29.01,1.75,656443936000,0.86,45,10,荣盛发展,10.14
34,35,快手概念,BK0972,1320.87,22.03,1.7,222752238000,1.9,22,9,日出东方,9.95
